FGT5019.004,Intercept Unencrypted SUPI,UE privacy,UE’s identity is obtained for subsequent attacks.
T1498.502,Shared Slice Resource exhaustion,NFVI,NFVI network and compute resources
T1498.502,Shared Slice Resource exhaustion,VNFs,"5G Core, RAN and Non-SBI functions, virtual resources supporting VNF"
FGT5018.002,Radio access hardware,Radio access hardware (gNB)," RAN-CU & DU, C-RAN MEC and mmWave equipment"
T1599,Compromise Network Isolation,Devices enforcing segmentation controls,"Devices enforcing network segmentation and creating perimeter for applications may include firewalls, SDN controllers, or Proxies."
FGT5025,Falsify interconnect invoice,Operator revenue,Operator loses revenue.
T1020.001,Network traffic duplication,Virtual elements,"Virtual switch, Virtual Router, Virtual Firewalls, Virtual Load Balancers, SDN Controllers"
FGT5020,Retrieve UE subscription data,UDM and subscriber/UE data,"Subscriber data can be permanent (not updateable) or updateable (like the current serving PLMN, AMF etc)"
T1499.503,DOS a UE via gNB or NF signaling,Network services,Communications is denied to legitimate UEs
T1018,Core-network scanning,MNO core network component data.,"Data (IP address or FQDN, ports) relating to network nodes."
T1040,Network Elements,UE data on roaming signaling interface,"Sensitive User signaling such as authentication data, user location for the N32 interface"
T1040,Network Elements,UE data on roaming user plane interface,User data for the N9 interface
T1040,Network Elements,"UP, CP Data","Signaling data, provisioning data, service discovery"
FGT5032,gNodeB Component Manipulation,RAN Service Management and Orchestration,Configuration and data related to gNodeB
FGT5032,gNodeB Component Manipulation,ORAN RIC,RIC and Configuration and data related to gNodeB
FGT5032,gNodeB Component Manipulation,xApps,"xApp and Configuration and data related to gNodeB, Realtime optimization data"
FGT5032,gNodeB Component Manipulation,rApps,"rApp and Configuration and data related to gNodeB, non-Realtime optimization data"
T1499.501,Consume data allocation to deny or degrade service,Assured user communications,Communications is denied until additional data usage is purchased.
FGT5004.001,Controller,"SDN Controller and Network Elements, operations, and security tools","Adversary may target a particular network controller, network element, CI/CD, security, and operations tools to manipulate SDN network flows."
FGT5004.001,Controller,SDN controller Configuration file,Adversary may target configuration to manipulate controller and network element behavior
FGT5031,Discover TEID,UE privacy,UE’s sensitive data such as its private IP address and GTP-U tunnel id (TEID) are revealed to adversary.
T1048.003,DNS Queries,DNS Resolvers,The configuration of DNS Resolvers is important to ensure ability to monitor DNS queries for adversary behavior.
T1565.002,Fronthaul User Plane Data,Subscriber network access,Legitimate subscribers can be denied access or existing subscriber sessions can be terminated or directed to malicious server.
T1557.502,Roaming and Interconnection,SEPP function,Adversary would target the SEPP
FGT5016,Abuse of Inter-operator Interfaces,SEPP,Adversaries may need to compromise a vSEPP to perform certain activities to ensure they look legitimate.
FGT5016,Abuse of Inter-operator Interfaces,NFs in the vPLMN,Adversaries may need to compromise a vPLMN NF to perform certain activities to ensure they look legitimate
FGT5016,Abuse of Inter-operator Interfaces,IPX signing keys,Adversary will need to compromise keys used to sign IE modifications at IPX
T1046,Core-network scanning,MNO core network component data.,"Data (IP address or FQDN, ports) relating to network nodes."
T1609.501,Accessing Terminated VNF,Container and Container engines,Container and container engine may expose privileged information to adversary directly from process or thru container engine.
T1609.501,Accessing Terminated VNF,Container Management Controller system,In Container management architecture (Kubernetes for example) adversary may use Kublet commands or API proxy to gain access to information and control of the container.
T1072,5G Orchestration and Deployment Tools,CI/CD Tools,Software development and deployment tools in MNO (and supplier) environments
T1072,5G Orchestration and Deployment Tools,Security Tools,"Scanning, monitoring, and end point protection tools"
T1072,5G Orchestration and Deployment Tools,OSS Tools,Operation and system support tools
T1525,Compromised image,Core components,An adversary may target the 5G core network domain
T1525,Compromised image,RAN components,An adversary may target the 5G core network domain
T1525,Compromised image,SDN components,An adversary may target CI/CD pipeline components
T1525,Compromised image,System tools,An adversary may target security and operations tools
T1195.002,Compromise software  Supply Chain,"CORE, RAN VNFs",Network functions are prime target to impact 5G communication services
T1195.002,Compromise software  Supply Chain,OSS Tools,OSS tools have privileged access and broad reachability and may be used to change configuration of the network by adversary.
T1195.002,Compromise software  Supply Chain,Security tools,Security tools have privileged access and broad reachability may be used to evade defenses and allow for lateral movements by the adversary
T1195.002,Compromise software  Supply Chain,CI/CD Tools,CI/CD tools may be used for inserting malware or poisoned images as well as change the network elements deployed and their behavior.
T1600.501,Radio interface,UE data,UE user plane data privacy.
T1600.501,Radio interface,UE signaling,UE signaling data privacy
