FGMID,Mitigation Name,Mitigation Description,where is it found?
FGM5001,Disable malicious transmitter,Disable or remove an RF transmitter,FGT5035 Radio Jamming
FGM5002,Discard RAN signaling received without integrity protection,"User Equipment (UE) can reject for example RRC signaling such as RRC Release with Redirect info, if not integrity protected",FGT1562.501 Impair Defenses: Bid down UE
FGM5003,Cross check between application layer and transport layer,NFs such as NRF should cross check with TLS layer before issuing token to an NF,
FGM5004,Correctly configure SMS firewall,"Employ a SMS Router that intercepts incoming location queries (from other operators), configured so that it can't be subverted",
FGM5005,Physical and environmental protection,"Physical protection of: communications centers, Telecommunications equipment room, Physically isolated operation areas, Equipment sited in other carrier's or partner's premises, cable/fibers, junction boxes, etc",
FGM5006,Restrictive user profile,Prevent insecure user profile configuration in network or UE,"FGT5012.002, FGT5019.002, FGT1040.501, FGT5009.001 "
FGM5007,Unlimited data plan,Subscription that includes unlimited data can prevent DoS due to exhausion of data plan limits,
FGM5008,Monitor installed applications for data usage,"On the UE, monitor installed applications for data usage and perform throttling if necessary",
FGM5010,Non-Persistent Services,Services are refreshed periodically and/or terminated after completion of a request,
FGM5012,Slice ID check,Check if IMSI is served by the slice ID (NSSAI),
FGM5013,Timely updates to UE status,UDM/UDR should correctly implement UE authentication/registration status updates,
FGM5014,UE location plausibility,UDM can check whether a requesting AMF is likely to be the one serving that UE,
FGM5019,Authorize external API calls,5G NFs should authorize API calls especially from external AFs for service accesses,
FGM5020,Secure subscriber repositories,"Secure all subscriber databases in 5G network, for example,  Equipment Identity Register (EIR)",
FGM5021,Increase RACH (Random Access Channel) resources,"Increase RACH resources on the gNB (bandwith, time slots)",
FGM5022,Proxy home network,"When the subscriber affiliation is reflected in the home network identifier (part of subscriber identifier), and would benefit from not being sent in the clear, the subscriber's provider (home network) should be a proxy mobile network operator - whose identifier does not reveal the true affiliation of the subscriber",
FGM5023,Periodic Authentication & Authorization of NFs,Perform periodic authentication and authorization of consumer NFs by NRF,T1499.503 DOS a UE via gNB or NF signaling
FGM5024,Integrity protection of data communication,Use strong data integrity protection algorithms,"T1565.002 Modify Data on SMO ext interfaces
T1565.002 Redirection of DNS requests
T1642.501 Endpoint Denial of Service: Transmit Spoofed Broadcast Message
FGT5009.002 Network Interfaces"
FGM5033,Zero Trust,Use zero trust principles for application/NF protection,
FGM5088,Separate repositories for development and production,Separate repositositories must be maintained for development and production software to avoid access and image slipovers,
FGM5091,Mutual authentication,"Enforce strong mutual authentication methods between service providers and service consumers in the transport, core and O-RAN systems","FGT5004, FGT5004.001, FGT5004.002, FGT5034, FGT5034.001"
FGM5092,Warn user,UE warns user of lower security network ,
FGM5093,SUCI parameter checks,"UDM/SIDF checks SUCI for freshness, whether it has been seen before, and for crypto parameters (example: if SUCI freshness parameter from the same UE (with same SUPI) is identical during SUCI deconcealment within a short period of time)",
FGM5094,Allocate new 5G identifiers judiciously,Network (AMF) should allocate new 5G-GUTI whenever possible; UPF and gNB should allocate unique Tunnel IDs; SMF should check newly allocated charging IDs,
FGM5095,TLS certificate check,Verify if the TLS certificate is valid for the endpoint,
FGM5096,Disable UE location use,Disable usage of location on UE device,
FGM5097,Disable acceptance of a less secure system,Restrict UE to bid down (from 5G) or use of less secure system,
FGM5098,Reduce UE usage,Use UE only when needed Turn power off when not in use,
FGM5099,Move UE close to gNB,Move UE close to gNB or indoors to make geo-location harder,
FGM5100,Raise height of UE,"Raising the height of the UE may move it outside another RF source, for example, jammer",
FGM5101,Isolate CDR database,Isolate CDR databases from the rest of the IT systems/NOC resources,
FGM5102,Silent SMS blocker ,Run at the UE side an application/tool to detect and not respond to silent SMS messages,
FGM5500,Restrict access to operator OA&M resources,"For example, restrict access to IR 21 database",
FGM5501,TLS proxy/firewalls with DPI on the SBA,Operator should deploy TLS proxies or firewalls on the SBA that can inspect packets to detect anomalies,
FGM5503,Increase control of home network for user plane,Examples: employ home routing vs local bypass,
FGM5504,Resource Isolation in virtualization environment,"Cloud compute, cloud storage and any serverless activity should be isolated from other tenants  ",
FGM5505,Hardware mediated  execution environment,Hardware mediated  execution environment,
